2319	6287	6930	2141	7866	7454	1025	6140	41	7147
2285	6754	6337	2316	5937	1625	5691	4246	5432	2742
216	3638	5918	2245	5702	425	5598	2461	6347	2009
257	3708	6480	2840	7051	4415	3878	4000	4283	372
6287	182	6930	6140	1831	7454	2141	6509	5644	3749
1704	5778	2396	632	1351	2632	7260	4246	4293	6422
1144	4115	510	5469	4005	721	825	1909	294	1653
3456	750	5981	6580	6542	2804	2901	3672	1052	5099
2521	5568	5602	5386	4750	1452	4861	2672	5844	974
4693	7923	2146	6698	2710	185	3375	225	4204	5796
3078	1025	2090	7866	7147	2141	587	7762	1389	5233
7901	3748	4473	1806	3982	5912	6432	2947	4928	354
5078	1284	3487	4154	4271	6504	4882	3520	6008	206
4470	2354	3132	1657	3539	4027	1974	718	4718	6307
4564	555	7023	6804	7045	410	6931	1027	5645	5215
13	2612	1541	4152	7125	4641	6880	4444	3035	1871
2859	3128	1679	3096	4199	180	3513	901	7802	640
1233	2162	140	7441	3025	887	5257	5835	67	1096
7501	374	6034	7694	2312	7271	4192	3824	2826	491
5571	3775	5608	4784	5458	5604	6351	7154	4982	5976
5189	7861	1836	223	4707	4833	7927	1036	3065	5002
2594	3896	1534	1353	588	788	2807	2490	6453	5088
189	2317	1352	1915	500	6999	3850	4166	7479	4032
7866	4746	5475	325	3749	4993	1025	2809	2141	1049
1353	2594	6846	2654	705	3896	1056	240	2469	7639
3068	2561	546	6818	4104	7264	5054	6644	159	7016
5380	2688	1304	3798	2022	7104	6869	3663	2124	6649
1708	6599	5748	5441	2395	6125	5836	5586	7726	3693
2783	3605	4114	5691	3388	6337	6333	2987	1625	907
7851	5805	7368	6016	2438	7029	3799	7209	694	2599
7268	940	2534	7646	2544	3718	4389	6708	7745	5042
3025	7344	2010	4025	6688	7773	7840	6068	4569	1491
7292	892	1589	566	4921	5868	559	401	4097	1925
2826	7225	5788	7729	2312	2942	212	7271	6688	3591
2222	6822	3257	4888	4101	6753	6263	4273	5201	7164
7272	138	5139	7534	7552	6206	5742	3623	3645	6248
1098	6079	7740	2023	1325	6587	3773	637	641	1808
6847	1544	4428	4227	5006	3470	3950	5133	3726	7666
3565	4357	1579	1713	5223	2814	1602	6269	1690	1588
7779	4337	1092	1676	7841	5384	983	835	5219	7034
1298	2474	2283	404	1346	5392	525	4857	5047	3787
5096	4031	303	456	2486	2664	5923	4316	2979	4410
2334	572	2100	6134	7527	5324	7835	5072	6936	4292
5201	6391	7423	5229	7193	1699	2121	5869	100	2234
6077	5133	643	2856	1839	5827	7666	1852	3705	844
3878	1788	4572	1492	4747	1951	352	1119	6710	2537
411	4575	6509	7454	1223	5644	1831	654	4993	7184
4084	6433	4286	461	2866	2172	2105	5985	2007	3428
627	1028	4786	4637	7749	5496	6255	1002	5198	1102
782	452	5558	6375	7377	6630	1476	1448	4284	5591
5255	6405	4347	7408	3527	960	4162	6865	129	3162
54	4118	5788	286	7571	1770	1429	1504	2010	5152
2312	2942	5788	7773	5261	3591	7225	1278	7571	3590
669	1241	6643	3654	6697	4072	5278	712	2808	6540
3429	2459	6988	6700	7959	4865	1782	2247	6791	3087
28	3302	5039	2979	2640	2509	5202	7724	4394	8000
916	2668	5789	1489	5900	1131	3168	2732	3811	4950
5676	231	2233	3871	837	3581	3492	4438	4512	7314
5829	2016	4133	4025	1122	5955	2010	7096	5961	6064
7949	6647	4626	481	5249	5052	3359	5731	5744	1298
5307	5752	95	6900	4736	3684	4201	7185	7634	6275
